passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
1,1.23,6.5,2.45,0.0,12.25,yellow,credit card,Manhattan Valley,Upper West Side North,Manhattan,Manhattan
4,1.1,5.5,0.44,0.0,9.24,yellow,credit card,Lenox Hill West,Yorkville East,Manhattan,Manhattan
2,0.5,4.5,1.05,0.0,6.35,yellow,credit card,East Harlem North,East Harlem North,Manhattan,Manhattan
1,0.75,5.5,1.5,0.0,10.3,yellow,credit card,Lincoln Square East,Midtown North,Manhattan,Manhattan
1,2.62,12.0,3.06,0.0,18.36,yellow,credit card,Midtown Center,East Village,Manhattan,Manhattan
1,1.65,11.5,3.95,0.0,19.75,yellow,credit card,UN/Turtle Bay South,Penn Station/Madison Sq West,Manhattan,Manhattan
1,2.75,13.0,3.46,0.0,20.76,yellow,credit card,Yorkville West,Lincoln Square East,Manhattan,Manhattan
1,2.32,12.0,0.0,0.0,15.8,yellow,cash,Little Italy/NoLiTa,Midtown South,Manhattan,Manhattan
6,1.44,6.5,3.09,0.0,13.39,yellow,credit card,West Village,Midtown South,Manhattan,Manhattan
2,16.74,52.0,15.26,5.76,76.32,yellow,credit card,East Chelsea,JFK Airport,Manhattan,Queens
6,1.7,10.5,2.75,0.0,16.55,yellow,credit card,Midtown Center,Union Sq,Manhattan,Manhattan
1,1.46,8.5,1.0,0.0,13.3,yellow,credit card,Lower East Side,Union Sq,Manhattan,Manhattan
5,1.78,9.5,2.56,0.0,15.36,yellow,credit card,Upper West Side South,Lenox Hill West,Manhattan,Manhattan
1,2.7,13.5,0.0,0.0,16.8,yellow,cash,Bloomingdale,Lincoln Square East,Manhattan,Manhattan
1,0.5,4.0,2.15,0.0,9.45,yellow,credit card,Upper West Side South,Upper West Side South,Manhattan,Manhattan
2,2.77,12.0,1.0,0.0,16.8,yellow,credit card,Lower East Side,Flatiron,Manhattan,Manhattan
1,1.13,7.0,1.7,0.0,13.0,yellow,credit card,Lenox Hill West,Midtown Center,Manhattan,Manhattan
2,0.9,5.5,0.0,0.0,9.3,yellow,cash,Times Sq/Theatre District,Midtown North,Manhattan,Manhattan
6,5.53,17.5,2.5,0.0,23.8,yellow,credit card,Chinatown,Yorkville West,Manhattan,Manhattan
1,1.06,7.0,1.08,0.0,11.88,yellow,credit card,Penn Station/Madison Sq West,Murray Hill,Manhattan,Manhattan
1,0.8,5.5,0.0,0.0,9.8,yellow,cash,Garment District,Union Sq,Manhattan,Manhattan
2,1.35,7.5,1.0,0.0,11.8,yellow,credit card,Union Sq,West Chelsea/Hudson Yards,Manhattan,Manhattan
1,0.85,6.0,1.96,0.0,11.76,yellow,credit card,Greenwich Village South,East Village,Manhattan,Manhattan
1,1.47,6.5,2.45,0.0,12.25,yellow,credit card,Lenox Hill East,East Harlem South,Manhattan,Manhattan
1,0.77,6.0,1.2,0.0,11.0,yellow,credit card,East Village,Little Italy/NoLiTa,Manhattan,Manhattan
2,4.4,17.5,3.76,0.0,22.56,yellow,credit card,Fort Greene,Cypress Hills,Brooklyn,Brooklyn
1,9.39,29.5,0.0,0.0,33.3,yellow,cash,Garment District,Park Slope,Manhattan,Brooklyn
1,1.3,6.0,0.0,0.0,9.3,yellow,cash,Clinton West,Lincoln Square West,Manhattan,Manhattan
2,7.8,28.0,6.35,0.0,38.15,yellow,credit card,Greenwich Village North,Central Harlem,Manhattan,Manhattan
1,10.82,36.0,7.96,0.0,47.76,yellow,credit card,Gramercy,Washington Heights South,Manhattan,Manhattan
1,1.33,8.5,2.56,0.0,15.36,yellow,credit card,Midtown North,Lincoln Square West,Manhattan,Manhattan
4,3.03,23.0,5.26,0.0,31.56,yellow,credit card,Central Park,Greenwich Village North,Manhattan,Manhattan
1,13.4,38.5,0.0,0.0,39.3,yellow,cash,JFK Airport,North Corona,Queens,Queens
1,2.24,9.0,3.2,0.0,16.0,yellow,credit card,TriBeCa/Civic Center,Flatiron,Manhattan,Manhattan
1,0.74,5.0,1.66,0.0,9.96,yellow,credit card,Lincoln Square West,Lincoln Square East,Manhattan,Manhattan
1,4.91,17.5,4.26,0.0,25.56,yellow,credit card,East Village,Greenpoint,Manhattan,Brooklyn
1,1.24,8.0,3.69,0.0,15.99,yellow,credit card,Midtown Center,Upper East Side South,Manhattan,Manhattan
0,11.8,40.5,10.55,0.0,52.85,yellow,credit card,LaGuardia Airport,Boerum Hill,Queens,Brooklyn
1,2.1,12.0,3.25,0.0,19.55,yellow,credit card,Midtown Center,Kips Bay,Manhattan,Manhattan
1,4.1,15.0,3.75,0.0,22.55,yellow,credit card,Midtown East,Greenpoint,Manhattan,Brooklyn
1,1.7,10.0,2.65,0.0,15.95,yellow,credit card,Murray Hill,Greenwich Village North,Manhattan,Manhattan
2,0.9,6.5,1.0,0.0,11.3,yellow,credit card,Murray Hill,Penn Station/Madison Sq West,Manhattan,Manhattan
2,16.6,52.0,6.0,5.76,67.06,yellow,credit card,Midtown Center,JFK Airport,Manhattan,Queens
1,1.1,7.0,3.05,0.0,13.35,yellow,credit card,Garment District,Midtown North,Manhattan,Manhattan
1,1.5,8.5,0.0,0.0,11.8,yellow,cash,Financial District North,TriBeCa/Civic Center,Manhattan,Manhattan
1,1.5,9.5,0.0,0.0,13.3,yellow,cash,West Chelsea/Hudson Yards,Garment District,Manhattan,Manhattan
2,2.41,9.5,3.32,0.0,16.62,yellow,credit card,Midtown Center,Yorkville West,Manhattan,Manhattan
1,1.5,9.0,1.0,0.0,13.8,yellow,credit card,Union Sq,Lower East Side,Manhattan,Manhattan
1,0.9,5.5,0.0,0.0,8.8,yellow,cash,Upper East Side South,Upper East Side North,Manhattan,Manhattan
1,0.77,7.0,2.06,0.0,12.36,yellow,credit card,Lincoln Square East,Clinton West,Manhattan,Manhattan
1,1.21,6.5,1.96,0.0,11.76,yellow,credit card,Union Sq,Greenwich Village South,Manhattan,Manhattan
1,2.9,15.0,3.65,0.0,21.95,yellow,credit card,Midtown North,Long Island City/Hunters Point,Manhattan,Queens
1,2.3,12.5,3.0,0.0,19.3,yellow,credit card,Greenwich Village South,Murray Hill,Manhattan,Manhattan
1,1.24,6.5,0.88,0.0,8.18,yellow,credit card,Upper West Side North,Morningside Heights,Manhattan,Manhattan
1,3.81,16.0,0.0,0.0,19.3,yellow,cash,Battery Park City,Penn Station/Madison Sq West,Manhattan,Manhattan
1,0.9,11.0,2.85,0.0,17.15,yellow,credit card,Murray Hill,Sutton Place/Turtle Bay North,Manhattan,Manhattan
2,1.07,8.0,2.26,0.0,13.56,yellow,credit card,Lenox Hill West,Upper East Side South,Manhattan,Manhattan
2,8.55,26.0,7.01,5.76,42.07,yellow,credit card,Upper East Side North,LaGuardia Airport,Manhattan,Queens
1,2.27,11.0,2.86,0.0,17.16,yellow,credit card,Flatiron,Lincoln Square East,Manhattan,Manhattan
2,8.02,23.0,0.0,0.0,24.3,yellow,cash,Steinway,Hillcrest/Pomonok,Queens,Queens
2,1.0,6.5,0.0,0.0,9.8,yellow,cash,Lincoln Square East,Upper West Side South,Manhattan,Manhattan
1,17.01,52.0,0.0,5.76,65.56,yellow,cash,JFK Airport,Midtown East,Queens,Manhattan
1,5.6,19.0,0.0,0.0,22.8,yellow,credit card,Garment District,East Harlem South,Manhattan,Manhattan
1,1.4,7.5,0.0,0.0,11.3,yellow,cash,Upper East Side South,UN/Turtle Bay South,Manhattan,Manhattan
2,1.4,8.0,0.0,0.0,11.3,yellow,cash,SoHo,Meatpacking/West Village West,Manhattan,Manhattan
1,6.25,20.0,4.0,0.0,27.8,yellow,credit card,East Village,Bloomingdale,Manhattan,Manhattan
1,0.68,7.5,0.0,0.0,11.8,yellow,cash,Upper East Side South,Upper East Side South,Manhattan,Manhattan
5,18.76,52.0,11.71,5.76,70.27,yellow,credit card,Central Harlem,JFK Airport,Manhattan,Queens
2,3.67,12.0,3.16,0.0,18.96,yellow,credit card,East Village,Yorkville West,Manhattan,Manhattan
3,1.2,7.5,2.16,0.0,12.96,yellow,credit card,Upper East Side South,Lenox Hill West,Manhattan,Manhattan
2,0.95,5.5,2.45,0.0,12.25,yellow,credit card,Lincoln Square East,Midtown North,Manhattan,Manhattan
1,1.3,13.0,3.26,0.0,19.56,yellow,credit card,Lincoln Square West,Times Sq/Theatre District,Manhattan,Manhattan
1,4.0,14.0,0.0,0.0,14.8,yellow,credit card,JFK Airport,Baisley Park,Queens,Queens
1,18.99,50.5,10.26,0.0,61.56,yellow,credit card,JFK Airport,Brooklyn Heights,Queens,Brooklyn
1,1.2,8.0,1.5,0.0,13.3,yellow,credit card,Hudson Sq,Lower East Side,Manhattan,Manhattan
6,2.04,10.0,2.86,0.0,17.16,yellow,credit card,Midtown East,East Village,Manhattan,Manhattan
1,1.4,8.5,3.2,0.0,16.0,yellow,credit card,TriBeCa/Civic Center,Financial District South,Manhattan,Manhattan
1,0.66,7.0,0.0,0.0,10.3,yellow,cash,Midtown East,Midtown East,Manhattan,Manhattan
2,0.7,6.0,1.95,0.0,11.75,yellow,credit card,Lower East Side,Little Italy/NoLiTa,Manhattan,Manhattan
1,1.5,8.0,0.0,0.0,11.8,yellow,cash,Little Italy/NoLiTa,Gramercy,Manhattan,Manhattan
2,1.1,7.0,1.75,0.0,12.05,yellow,credit card,Midtown South,Greenwich Village North,Manhattan,Manhattan
1,0.81,7.0,2.06,0.0,12.36,yellow,credit card,Midtown North,Lincoln Square East,Manhattan,Manhattan
5,3.27,15.0,0.92,0.0,19.22,yellow,credit card,Kips Bay,East Chelsea,Manhattan,Manhattan
1,1.9,10.0,0.0,0.0,13.8,yellow,cash,Union Sq,Times Sq/Theatre District,Manhattan,Manhattan
2,1.7,10.5,0.0,0.0,13.8,yellow,cash,Greenwich Village South,Midtown South,Manhattan,Manhattan
1,0.83,7.5,1.2,0.0,12.0,yellow,credit card,SoHo,TriBeCa/Civic Center,Manhattan,Manhattan
1,3.17,11.0,2.86,0.0,17.16,yellow,credit card,Sutton Place/Turtle Bay North,Union Sq,Manhattan,Manhattan
3,1.34,7.5,2.16,0.0,12.96,yellow,credit card,Lenox Hill East,Upper East Side North,Manhattan,Manhattan
1,1.6,7.5,2.25,0.0,13.55,yellow,credit card,West Village,Penn Station/Madison Sq West,Manhattan,Manhattan
1,2.0,9.5,2.65,0.0,15.95,yellow,credit card,Murray Hill,Stuy Town/Peter Cooper Village,Manhattan,Manhattan
1,0.5,6.5,1.95,0.0,11.75,yellow,credit card,Murray Hill,Garment District,Manhattan,Manhattan
1,2.6,11.0,0.0,0.0,12.3,yellow,cash,Crown Heights North,Crown Heights South,Brooklyn,Brooklyn
1,2.14,8.0,0.0,0.0,11.8,yellow,cash,Seaport,DUMBO/Vinegar Hill,Manhattan,Brooklyn
2,1.5,7.0,2.15,0.0,12.95,yellow,credit card,Union Sq,Murray Hill,Manhattan,Manhattan
1,3.97,18.0,4.36,0.0,26.16,yellow,credit card,Union Sq,East Harlem South,Manhattan,Manhattan
1,4.08,14.5,3.66,0.0,21.96,yellow,credit card,East Village,Yorkville East,Manhattan,Manhattan
1,1.75,9.0,3.99,0.0,17.29,yellow,credit card,Penn Station/Madison Sq West,Greenwich Village North,Manhattan,Manhattan
1,1.22,8.5,0.0,0.0,11.8,yellow,cash,Greenwich Village North,Meatpacking/West Village West,Manhattan,Manhattan
1,2.48,10.0,2.86,0.0,17.16,yellow,credit card,Battery Park City,East Chelsea,Manhattan,Manhattan
3,2.7,11.0,3.55,0.0,17.85,yellow,credit card,Yorkville East,East Harlem North,Manhattan,Manhattan
1,0.37,6.5,0.0,0.0,10.8,yellow,cash,Midtown North,Midtown North,Manhattan,Manhattan
1,1.29,5.5,0.0,0.0,9.3,yellow,cash,Upper West Side South,Bloomingdale,Manhattan,Manhattan
2,1.25,6.5,1.54,0.0,11.84,yellow,credit card,Greenwich Village South,TriBeCa/Civic Center,Manhattan,Manhattan
5,1.2,5.5,1.76,0.0,10.56,yellow,credit card,Penn Station/Madison Sq West,Times Sq/Theatre District,Manhattan,Manhattan
1,6.35,19.0,0.0,0.0,22.8,yellow,cash,Lincoln Square West,Washington Heights South,Manhattan,Manhattan
1,2.23,9.5,3.45,0.0,17.25,yellow,credit card,Upper East Side South,Long Island City/Hunters Point,Manhattan,Queens
3,7.2,22.0,6.3,5.76,37.86,yellow,credit card,LaGuardia Airport,Yorkville East,Queens,Manhattan
3,1.3,6.5,1.0,0.0,10.8,yellow,credit card,Penn Station/Madison Sq West,Union Sq,Manhattan,Manhattan
1,1.33,6.5,2.06,0.0,12.36,yellow,credit card,Midtown South,Gramercy,Manhattan,Manhattan
1,12.05,35.5,0.0,0.0,36.3,yellow,credit card,Clinton East,Soundview/Castle Hill,Manhattan,Bronx
1,2.8,12.5,3.25,0.0,19.55,yellow,credit card,Lower East Side,West Chelsea/Hudson Yards,Manhattan,Manhattan
1,0.6,6.0,0.0,0.0,10.3,yellow,credit card,Midtown Center,Sutton Place/Turtle Bay North,Manhattan,Manhattan
1,1.21,6.5,1.0,0.0,11.3,yellow,credit card,Murray Hill,Sutton Place/Turtle Bay North,Manhattan,Manhattan
5,13.57,45.0,13.52,5.76,67.58,yellow,credit card,LaGuardia Airport,Lower East Side,Queens,Manhattan
1,0.9,5.0,0.0,0.0,8.3,yellow,cash,Times Sq/Theatre District,Garment District,Manhattan,Manhattan
1,1.8,9.5,2.0,0.0,15.8,yellow,credit card,Midtown Center,Union Sq,Manhattan,Manhattan
1,1.2,6.5,1.0,0.0,11.3,yellow,credit card,Clinton East,Penn Station/Madison Sq West,Manhattan,Manhattan
1,0.68,5.0,2.0,0.0,10.3,yellow,credit card,Greenwich Village North,Penn Station/Madison Sq West,Manhattan,Manhattan
1,1.3,6.5,2.45,0.0,12.25,yellow,credit card,Lincoln Square East,Upper West Side North,Manhattan,Manhattan
1,1.3,8.0,1.0,0.0,12.8,yellow,credit card,Lower East Side,West Village,Manhattan,Manhattan
2,1.4,7.0,0.0,0.0,7.8,yellow,cash,Upper West Side North,Morningside Heights,Manhattan,Manhattan
3,0.8,6.0,0.0,0.0,9.3,yellow,cash,Midtown Center,Clinton East,Manhattan,Manhattan
1,3.8,15.0,3.75,0.0,22.55,yellow,credit card,Lenox Hill West,East Village,Manhattan,Manhattan
1,1.64,8.0,2.26,0.0,13.56,yellow,credit card,Lenox Hill West,Upper East Side North,Manhattan,Manhattan
2,0.87,5.0,0.88,0.0,9.68,yellow,credit card,Lincoln Square East,Times Sq/Theatre District,Manhattan,Manhattan
1,0.9,7.0,1.8,0.0,12.1,yellow,credit card,Penn Station/Madison Sq West,West Chelsea/Hudson Yards,Manhattan,Manhattan
1,5.63,18.5,0.0,0.0,21.8,yellow,cash,Kips Bay,Brooklyn Heights,Manhattan,Brooklyn
1,0.33,5.0,1.76,0.0,10.56,yellow,credit card,Lincoln Square East,Lincoln Square West,Manhattan,Manhattan
1,1.9,8.0,2.35,0.0,14.15,yellow,credit card,Sutton Place/Turtle Bay North,Yorkville East,Manhattan,Manhattan
1,4.4,20.5,0.0,0.0,22.3,yellow,credit card,East Chelsea,TriBeCa/Civic Center,Manhattan,Manhattan
1,1.04,6.0,0.0,0.0,9.3,yellow,cash,Greenwich Village North,Penn Station/Madison Sq West,Manhattan,Manhattan
1,3.9,12.5,4.0,0.0,19.8,yellow,credit card,Clinton East,East Harlem South,Manhattan,Manhattan
1,3.59,17.0,1.0,0.0,21.3,yellow,credit card,Flatiron,World Trade Center,Manhattan,Manhattan
5,0.89,5.0,1.76,0.0,10.56,yellow,credit card,Upper East Side North,Yorkville West,Manhattan,Manhattan
2,1.3,6.5,2.05,0.0,12.35,yellow,credit card,Union Sq,Garment District,Manhattan,Manhattan
1,2.4,9.5,5.0,0.0,17.8,yellow,credit card,East Village,Penn Station/Madison Sq West,Manhattan,Manhattan
1,1.8,12.0,0.0,0.0,16.3,yellow,cash,Midtown North,Penn Station/Madison Sq West,Manhattan,Manhattan
3,1.03,5.5,1.76,0.0,10.56,yellow,credit card,Chinatown,Greenwich Village South,Manhattan,Manhattan
1,2.04,11.0,0.0,0.0,14.3,yellow,cash,Midtown South,Sutton Place/Turtle Bay North,Manhattan,Manhattan
1,1.1,7.0,3.05,0.0,13.35,yellow,credit card,Upper East Side North,East Harlem South,Manhattan,Manhattan
1,3.66,15.0,3.66,0.0,21.96,yellow,credit card,Yorkville East,Gramercy,Manhattan,Manhattan
4,2.6,13.5,0.0,0.0,16.8,yellow,cash,East Chelsea,Upper East Side South,Manhattan,Manhattan
1,0.68,6.0,1.86,0.0,11.16,yellow,credit card,Upper East Side South,Upper East Side South,Manhattan,Manhattan
1,1.7,11.0,3.05,0.0,18.35,yellow,credit card,Times Sq/Theatre District,Union Sq,Manhattan,Manhattan
1,1.11,10.0,2.66,0.0,15.96,yellow,credit card,Clinton East,Penn Station/Madison Sq West,Manhattan,Manhattan
1,1.3,9.0,2.45,0.0,14.75,yellow,credit card,Murray Hill,Clinton West,Manhattan,Manhattan
1,2.1,13.0,3.45,0.0,20.75,yellow,credit card,East Village,Penn Station/Madison Sq West,Manhattan,Manhattan
1,3.37,13.5,2.0,0.0,19.3,yellow,credit card,Clinton East,Alphabet City,Manhattan,Manhattan
0,1.1,6.5,1.56,0.0,9.36,yellow,credit card,Midtown Center,Midtown Center,Manhattan,Manhattan
1,0.6,4.0,1.0,0.0,8.8,yellow,credit card,Clinton East,Lincoln Square West,Manhattan,Manhattan
1,1.47,8.5,2.0,0.0,14.3,yellow,credit card,Lower East Side,Greenwich Village North,Manhattan,Manhattan
2,17.28,52.0,13.11,5.76,78.67,yellow,credit card,JFK Airport,Midtown Center,Queens,Manhattan
5,18.94,52.0,12.21,5.76,73.27,yellow,credit card,Upper East Side North,JFK Airport,Manhattan,Queens
1,0.53,6.5,2.16,0.0,12.96,yellow,credit card,Midtown Center,Midtown South,Manhattan,Manhattan
1,1.08,11.0,0.0,0.0,14.3,yellow,cash,Times Sq/Theatre District,UN/Turtle Bay South,Manhattan,Manhattan
2,2.33,10.5,2.76,0.0,16.56,yellow,credit card,East Village,Kips Bay,Manhattan,Manhattan
1,0.75,5.0,1.76,0.0,10.56,yellow,credit card,Gramercy,Union Sq,Manhattan,Manhattan
1,0.6,5.5,0.0,0.0,9.3,yellow,cash,Union Sq,Midtown South,Manhattan,Manhattan
1,1.55,7.0,1.0,0.0,11.8,yellow,credit card,Midtown South,Times Sq/Theatre District,Manhattan,Manhattan
1,0.9,2.5,0.0,0.0,5.8,yellow,cash,Murray Hill,Murray Hill,Manhattan,Manhattan
2,0.64,5.0,2.08,0.0,10.38,yellow,credit card,UN/Turtle Bay South,Sutton Place/Turtle Bay North,Manhattan,Manhattan
1,2.8,12.0,3.16,0.0,18.96,yellow,credit card,Midtown Center,Upper West Side North,Manhattan,Manhattan
6,2.11,12.0,0.0,0.0,15.3,yellow,cash,Hudson Sq,East Chelsea,Manhattan,Manhattan
1,1.1,11.0,1.0,0.0,16.3,yellow,credit card,Midtown East,Midtown Center,Manhattan,Manhattan
2,1.4,8.5,2.0,0.0,14.3,yellow,credit card,East Village,Kips Bay,Manhattan,Manhattan
1,0.88,6.5,2.94,0.0,12.74,yellow,credit card,Upper West Side South,Upper West Side South,Manhattan,Manhattan
2,5.9,19.0,0.0,0.0,22.3,yellow,cash,Two Bridges/Seward Park,East Harlem South,Manhattan,Manhattan
2,0.83,8.5,3.2,0.0,16.0,yellow,credit card,Midtown East,Times Sq/Theatre District,Manhattan,Manhattan
1,1.05,13.5,0.0,0.0,17.8,yellow,cash,East Chelsea,Garment District,Manhattan,Manhattan
1,1.39,10.5,1.0,0.0,14.8,yellow,credit card,Upper West Side South,Central Park,Manhattan,Manhattan
2,1.1,7.5,2.15,0.0,12.95,yellow,credit card,Gramercy,Flatiron,Manhattan,Manhattan
1,1.2,6.5,2.45,0.0,12.25,yellow,credit card,Clinton East,Clinton West,Manhattan,Manhattan
1,1.2,7.0,2.05,0.0,12.35,yellow,credit card,Upper West Side North,Upper East Side North,Manhattan,Manhattan
3,0.49,3.5,0.0,0.0,7.8,yellow,cash,Flatiron,East Chelsea,Manhattan,Manhattan
1,2.58,12.0,3.16,0.0,18.96,yellow,credit card,Clinton East,Yorkville East,Manhattan,Manhattan
1,8.24,25.5,6.51,5.76,39.07,yellow,credit card,East Harlem North,Randalls Island,Manhattan,Manhattan
0,2.1,10.0,0.7,0.0,14.0,yellow,credit card,Greenwich Village North,Midtown East,Manhattan,Manhattan
1,1.4,7.0,2.05,0.0,12.35,yellow,credit card,Upper East Side South,Midtown North,Manhattan,Manhattan
1,0.55,3.5,0.0,0.0,4.3,yellow,cash,East Harlem North,East Harlem South,Manhattan,Manhattan
0,0.7,5.5,1.75,0.0,10.55,yellow,credit card,Little Italy/NoLiTa,West Village,Manhattan,Manhattan
2,0.9,8.5,0.0,0.0,11.8,yellow,cash,Times Sq/Theatre District,East Chelsea,Manhattan,Manhattan
2,0.8,6.0,2.05,0.0,12.35,yellow,credit card,Clinton West,Garment District,Manhattan,Manhattan
1,3.09,12.0,3.06,0.0,18.36,yellow,credit card,Hudson Sq,Alphabet City,Manhattan,Manhattan
1,1.9,11.5,1.0,0.0,16.3,yellow,credit card,East Village,Two Bridges/Seward Park,Manhattan,Manhattan
1,2.07,9.5,1.0,0.0,14.3,yellow,credit card,Union Sq,Alphabet City,Manhattan,Manhattan
4,3.04,12.0,3.16,0.0,18.96,yellow,credit card,Times Sq/Theatre District,Upper East Side North,Manhattan,Manhattan
1,1.65,10.5,2.76,0.0,16.56,yellow,credit card,East Chelsea,Midtown East,Manhattan,Manhattan
1,8.44,26.0,7.01,5.76,42.07,yellow,credit card,LaGuardia Airport,Upper East Side North,Queens,Manhattan
5,1.43,13.5,0.0,0.0,16.8,yellow,cash,Murray Hill,West Chelsea/Hudson Yards,Manhattan,Manhattan
3,3.95,15.5,1.93,0.0,21.23,yellow,credit card,Lower East Side,Murray Hill,Manhattan,Manhattan
1,1.5,7.0,0.0,0.0,10.3,yellow,cash,Upper East Side South,Murray Hill,Manhattan,Manhattan
1,2.5,10.0,2.76,0.0,16.56,yellow,credit card,Midtown East,East Village,Manhattan,Manhattan
1,0.69,4.0,1.24,0.0,9.54,yellow,credit card,Midtown Center,Times Sq/Theatre District,Manhattan,Manhattan
1,2.75,18.0,4.46,0.0,26.76,yellow,credit card,Midtown Center,Kips Bay,Manhattan,Manhattan
1,2.04,16.5,0.0,0.0,20.8,yellow,cash,Times Sq/Theatre District,East Village,Manhattan,Manhattan
1,3.39,16.5,3.96,0.0,23.76,yellow,credit card,East Chelsea,TriBeCa/Civic Center,Manhattan,Manhattan
2,1.33,8.0,2.26,0.0,13.56,yellow,credit card,Midtown North,Penn Station/Madison Sq West,Manhattan,Manhattan
2,1.15,7.0,2.06,0.0,12.36,yellow,credit card,Little Italy/NoLiTa,Greenwich Village North,Manhattan,Manhattan
1,1.94,9.5,2.2,0.0,15.5,yellow,credit card,Upper West Side South,Lenox Hill West,Manhattan,Manhattan
2,1.62,11.0,2.0,0.0,16.3,yellow,credit card,Central Park,Midtown Center,Manhattan,Manhattan
2,0.81,5.5,0.0,0.0,9.3,yellow,cash,Clinton East,Midtown North,Manhattan,Manhattan
3,0.37,7.0,0.0,0.0,10.3,yellow,cash,Penn Station/Madison Sq West,Garment District,Manhattan,Manhattan
1,11.79,36.5,0.0,0.0,39.8,yellow,cash,West Chelsea/Hudson Yards,Melrose South,Manhattan,Bronx
1,1.4,6.5,2.05,0.0,12.35,yellow,credit card,East Village,Murray Hill,Manhattan,Manhattan
1,1.3,5.5,0.0,0.0,6.3,yellow,credit card,Boerum Hill,Columbia Street,Brooklyn,Brooklyn
1,3.42,14.0,2.0,0.0,19.3,yellow,credit card,Midtown East,Central Park,Manhattan,Manhattan
2,2.6,12.0,3.15,0.0,18.95,yellow,credit card,Penn Station/Madison Sq West,Battery Park City,Manhattan,Manhattan
2,2.1,12.0,3.15,0.0,18.95,yellow,credit card,TriBeCa/Civic Center,East Village,Manhattan,Manhattan
5,1.63,12.5,0.0,0.0,15.8,yellow,cash,Battery Park City,Chinatown,Manhattan,Manhattan
1,1.2,6.0,1.95,0.0,11.75,yellow,credit card,Midtown East,Upper East Side South,Manhattan,Manhattan
1,1.26,12.5,0.0,0.0,15.8,yellow,cash,Garment District,Murray Hill,Manhattan,Manhattan
2,1.32,7.5,0.0,0.0,11.3,yellow,cash,Clinton East,Midtown South,Manhattan,Manhattan
1,9.0,35.5,7.95,0.0,47.75,yellow,credit card,Midtown North,Park Slope,Manhattan,Brooklyn
1,1.2,7.0,1.75,0.0,10.55,yellow,credit card,Morningside Heights,Upper West Side North,Manhattan,Manhattan
1,1.78,8.5,1.5,0.0,13.3,yellow,credit card,Midtown North,West Chelsea/Hudson Yards,Manhattan,Manhattan
3,0.9,8.0,0.0,0.0,11.3,yellow,cash,Midtown North,Midtown East,Manhattan,Manhattan
1,1.1,6.5,1.0,0.0,11.8,yellow,credit card,West Village,Penn Station/Madison Sq West,Manhattan,Manhattan
1,0.02,2.5,0.0,0.0,6.3,yellow,cash,Meatpacking/West Village West,Meatpacking/West Village West,Manhattan,Manhattan
5,0.99,6.5,0.0,0.0,9.8,yellow,cash,East Village,Gramercy,Manhattan,Manhattan
1,1.8,10.0,0.0,0.0,14.3,yellow,cash,Union Sq,East Village,Manhattan,Manhattan
1,0.2,4.0,0.0,0.0,7.3,yellow,cash,Williamsburg (South Side),Williamsburg (South Side),Brooklyn,Brooklyn
1,1.15,7.5,1.0,0.0,12.8,yellow,credit card,TriBeCa/Civic Center,SoHo,Manhattan,Manhattan
1,2.45,11.5,2.37,0.0,18.17,yellow,credit card,Hudson Sq,Financial District South,Manhattan,Manhattan
1,3.53,15.0,4.7,0.0,23.5,yellow,credit card,Lower East Side,Times Sq/Theatre District,Manhattan,Manhattan
5,2.03,9.5,0.0,0.0,13.8,yellow,cash,Lenox Hill East,Lincoln Square East,Manhattan,Manhattan
3,8.19,30.5,0.0,5.76,39.56,yellow,cash,East Chelsea,Park Slope,Manhattan,Brooklyn
1,6.18,19.5,4.66,0.0,27.96,yellow,credit card,Clinton East,Washington Heights South,Manhattan,Manhattan
1,4.0,16.5,4.15,0.0,24.95,yellow,credit card,Union Sq,Upper West Side North,Manhattan,Manhattan
2,3.3,13.0,5.0,0.0,21.8,yellow,credit card,Financial District South,Brooklyn Heights,Manhattan,Brooklyn
1,0.86,5.5,1.76,0.0,10.56,yellow,credit card,Penn Station/Madison Sq West,Flatiron,Manhattan,Manhattan
1,2.1,13.0,3.46,0.0,20.76,yellow,credit card,Midtown South,SoHo,Manhattan,Manhattan
5,0.58,4.0,2.34,0.0,10.14,yellow,credit card,Central Park,Central Park,Manhattan,Manhattan
2,2.46,15.5,3.76,0.0,22.56,yellow,credit card,Midtown East,East Chelsea,Manhattan,Manhattan
1,1.6,7.0,2.06,0.0,12.36,yellow,credit card,Yorkville West,Sutton Place/Turtle Bay North,Manhattan,Manhattan
2,0.93,7.5,1.1,0.0,11.9,yellow,credit card,Murray Hill,Midtown Center,Manhattan,Manhattan
4,1.77,8.0,0.0,0.0,11.3,yellow,cash,Greenwich Village South,World Trade Center,Manhattan,Manhattan
1,0.88,5.0,2.08,0.0,10.38,yellow,credit card,Upper East Side South,Midtown East,Manhattan,Manhattan
1,0.57,4.5,1.56,0.0,9.36,yellow,credit card,Upper East Side South,Midtown East,Manhattan,Manhattan
5,2.54,9.5,2.66,0.0,15.96,yellow,credit card,Union Sq,Financial District North,Manhattan,Manhattan
1,1.47,7.5,2.36,0.0,14.16,yellow,credit card,Midtown East,Kips Bay,Manhattan,Manhattan
6,1.19,6.0,1.86,0.0,11.16,yellow,credit card,Penn Station/Madison Sq West,Union Sq,Manhattan,Manhattan
